id, type, attributes
0, Pink Female, Earring / Blonde Bob / Mole
1, Gold, Mohawk
2, Female 3, Wild Hair
3, Male 1, Wild Hair / Pipe / Nerd Glasses
4, Orange, Goat / Earring / Wild Hair / Big Shades
5, Pink Female, Earring / Half Shaved / Spots
6, Orange, Do-rag
7, Pink Female, Spots / Wild White Hair / Clown Eyes Blue
8, Male 1, Luxurious Beard / Messy Hair
9, Orange, Big Beard / Police Cap / Clown Nose
10, Female 1, Mohawk / Blue Eye Shadow
11, Pink Female, Black Lipstick / Straight Hair Dark / Clown Eyes Green
12, Female 1, Purple Lipstick / Blonde Short
13, Female 3, Black Lipstick / Straight Hair Blonde / Big Shades
14, Female 1, Hot Lipstick / Pilot Helmet / Pipe
15, Male 4, Luxurious Beard / Wild Hair / Regular Shades
16, Orange, Earring / Stringy Hair / Laser Eyes
17, Pepe, Mohawk
18, Orange, Muttonchops / Eye Mask
19, Female 1, Hot Lipstick / Bandana / Horned Rim Glasses
20, Male 3, Crazy Hair
21, Male 3, Earring / Messy Hair / Classic Shades
22, Female 1, Purple Lipstick / Pilot Helmet
23, Male 3, Handlebars / Earring / Do-rag
24, Gold, Mohawk Dark
25, Female 1, Wild White Hair
26, Pink Female, Dark Hair
27, Male 3, Earring / Peak Spike
28, Male 1, Crazy Hair / Big Shades
29, Pink Female, Earring / Half Shaved / Horned Rim Glasses
30, Male 1, Normal Beard Black / Cap
31, Female 1, Stringy Hair
32, Pepe, VR
33, Male 3, Peak Spike
34, Female 3, Purple Lipstick / Frumpy Hair
35, Male 1, Normal Beard / Earring / Peak Spike / Cigarette / Horned Rim Glasses
36, Pink Female, Red Mohawk
37, Female 1, Cap / Clown Eyes Blue
38, Female 3, Purple Lipstick / Frumpy Hair / Classic Shades
39, Pepe, Shaved Head / Regular Shades
40, Gold, Chinstrap / Bandana
41, Male 1, Muttonchops / Wild Hair / Clown Eyes Green
42, Female 1, Wild Hair / Cigarette
43, Pink Female, Half Shaved
44, Male 3, Messy Hair
45, Orange, Mole / Earring
46, Pink Female, Purple Lipstick / Straight Hair Dark
47, Male 1, Knitted Cap
48, Male 3, Mohawk / Big Shades
49, Alien Purple Female, Spots / Bandana
50, Orange, Spots / Fedora
51, Orange, Muttonchops / Earring / Wild Hair
52, Male 1, Shadow Beard / Earring / Knitted Cap / Nerd Glasses
53, Female 3, Straight Hair / Big Shades
54, Male 1, Hoodie
55, Male 3, Eye Patch
56, Alien Purple, Shaved Head
57, Male 3, Headband
58, Orange, Normal Beard Black / Hoodie
59, Male 4, Muttonchops / Cowboy Hat
60, Female 3, Purple Lipstick / Stringy Hair
61, Female 3, Dark Hair
62, Female 1, Hot Lipstick / Earring / Mohawk Dark / Clown Eyes Blue
63, Male 1, Earring / Shaved Head / Laser Eyes
64, Pink Female, Purple Lipstick / Straight Hair Blonde
65, Pink Female, Headband / Eye Mask
66, Female 1, Tassle Hat
